File_ID,Carvone,Hexadecanal,Methyl Hexadecanoate,Ethyl Hexadecanoate,Octadecenal,Methyl Octadecenoate,Heneicosane,Ethyl Octadecenoate,Ethyl Octadecanoate,Docosane,Tricosene,Tricosane,"Decanoic Acid, Dodecyl Ester",Tetracosane,Pentacosene,Pentacosane,Methyl Tetradecanoate,Ethyl Tetradecanoate,Hexadecenal,Heneicosene,Hexacosene,Hexacosane,Heptacosene,Heptacosane,Octacosane,"Decanoic acid, Hexadecyl Ester",Octacosene,Tetracosyl Acetate,Nonacosene,Nonacosane,"Unknown1, mz 108,79; mw=402",Hexacosyl Acetate,Triacontene,"Hexadecenoic Acid, Dodecyl Ester","Octadecenoic Acid, Decyl Ester",Hentriacontene,Hentriacontane,"Eicosenoic Acid, Decyl Ester",Tritriacontene,Tritriacontane,"Unknown2, mz434,390; mw=?","Octadecenoic Acid, Hexadecyl Ester","Unknown3, mz 464,338,265,201,127; mw=?","Hexadecenoic acid, Hexadecyl Ester","Hexadecenoic acid, Octadecenyl Ester","Octadecenoic Acid, Hexadecenyl Ester",Octanoic Acid,"Octanoic Acid, Ethyl Ester"
25_1.cdf,0.041686604,0.053434901,1.168720788,1.735386064,0.050574806,0.561853518,0.469441312,1.401244036,0.180190151,0.137246988,7.25448377,12.50952804,0.435916992,0.590147887,13.66860244,14.80159074,0.084759274,0.084830393,0.035470551,0.058671562,0.632630818,0.783509708,9.345842818,11.65805049,0.670809265,0.001969088,0.175147457,0.555066132,5.42847044,7.519167848,0.597469043,0.571367545,0.03620144,0.050807083,0.042274483,2.576743725,3.097902886,0.66082945,0.115710848,0.085554893,0.002449728,0,0.000960154,0.041399836,0.003152132,0.009507159,0.011117802,0.002106925
26_1.cdf,0.018475377,0.024219634,2.994423823,5.765026923,0.066937225,1.262453065,0.864102843,4.260723131,0.553510068,0.3223392,7.884836395,10.92169225,0.730612823,1.21656694,10.27384208,11.73279674,0.210944427,0.365462698,0.020469264,0.052064776,0.592443374,0.942427606,7.059573514,9.403054319,0.616409938,0,0.121321375,0.490150051,3.980264312,8.000759279,0.361904528,0.51665111,0.008161224,0.022666955,0.013152169,2.56954445,4.764837821,0.605476579,0.158958657,0.139941688,0.000985186,0,0.008602601,0.056980787,0.001886908,0.014134566,0.005249674,0.002961645
27_1.cdf,0.198472344,0.051713127,0.318437133,0.022485019,0.041912547,0.234333493,2.861752367,0.092188973,0.028179787,0.370092202,12.68549417,20.8118001,0.543297621,0.636903804,18.27671812,18.56588301,0.038793869,0.023931621,0.036467813,0.185779648,0.631798671,0.551933243,5.909006391,8.637445195,0.555431163,0.001046894,0.1577578,0.466335285,1.319234401,2.523359742,0.857028307,0.446772237,0.059322104,0.020005246,0.04030081,0.548906677,0.692495578,0.48848571,0,0.025182258,0.012770799,0.000721888,0,0,0.009818317,0.000138349,0.018203532,0.001862639
28_1.cdf,0.043901731,0.030343212,0.249719155,0.465737246,0.035337526,0.131357994,0.52087384,0.374759099,0.073029397,0.26226301,13.18527119,21.43254361,0.608448936,1.144777123,16.28966461,23.00040553,0.043452461,0.059600652,0.02813905,0.034884995,0.661496644,0.65981498,1.840693845,9.309120711,0.580517537,5.30E-05,0.018699572,0.569199076,0.431743721,3.80808425,0.766877,0.528515599,0,0,0,0.670759044,1.412771166,0.578843013,0.03771118,0.075092869,0.021408765,0.000274808,0,0,0.010507873,0,0.00160436,0.001700663
29_1.cdf,0.042239427,0.031735036,0.392045497,1.101040446,0.039420157,0.221529178,0.695598418,0.926693277,0.143204424,0.341419458,14.89688095,20.38356108,0.763469548,1.187456885,16.29901482,21.57324552,0.057589686,0.105803659,0.025754113,0.032835263,0.668674759,0.613749872,1.959255484,8.348971856,0.535319401,0.000152346,0.024509035,0.590744488,0.513634509,3.503193514,0.688843467,0.528065748,0,0,0,0.701205371,1.361101677,0.547894757,0.044787578,0.073922543,0.019360416,0.000200648,0,0.000117806,0.012521914,0,0.001108018,0.002127943
2_1.cdf,0.033973366,0.03616647,0.012478673,0.051646433,0.031408612,0.036394707,0.158203142,0.136950256,0.031239711,0.085219496,12.14947419,14.46121612,0.958295626,0.79182795,18.47813451,19.71937842,0.009302952,0.020574831,0.027270702,0.036280348,0.547403029,0.49433807,6.774444331,9.080774205,0.417534581,2.97E-05,0.110563447,0.606920506,2.593818812,4.672253332,0.75347566,0.540177177,0.045557627,0.018726504,0.035499221,2.366174433,2.738277227,0.622424183,0.15340077,0.104368415,0.030611785,0.000654466,0,0.00178505,0.019922836,0,0.001021872,0.004406251
30_1.cdf,0.026721124,0.026618955,0.062700439,0.126737428,0.027965978,0.081949937,0.71793981,0.168448614,0.036837011,0.277688752,11.58901237,19.39249461,0.549952227,1.058599022,14.39275097,19.8740803,0.018460175,0.025915962,0.02283069,0.028802766,0.648601548,0.658882966,2.601021522,10.73106186,0.603577755,0.000352595,0.032243602,1.159335691,1.246637159,6.191170769,0.649548192,0.917089087,0,0.002739973,0,1.528569443,3.32711042,0.772631949,0.161045869,0.17399287,0.015864524,0.002321328,0.003897336,0.043307458,0.014190962,0.005118257,0.001157095,0.002022637
31_1.cdf,0.047261776,0.032911099,0.044331661,0.127232083,0.031481587,0.062066847,0.386893804,0.183598668,0.041467633,0.199431676,13.15459181,20.14389206,0.774712546,1.409394093,16.93117151,22.68168069,0.015598228,0.029682464,0.027008739,0.031518877,0.767035353,0.719542393,2.297776951,9.880615976,0.586071297,0.000571889,0.031556668,0.719536068,0.602453367,3.87549142,0.69606211,0.596664137,0,0,0,0.718104247,1.388717022,0.593091711,0.04753872,0.078137985,0.017203033,0.001342499,0,0.006474503,0.015074363,0.00069268,0.002255373,0.002062381
32_1.cdf,0.016449065,0.027480103,1.459267648,0.588785847,0.041249403,0.744229049,2.078064741,0.570627603,0.068255718,0.73348264,12.74896211,18.03134479,1.06371282,2.026403244,13.54010656,17.5742223,0.234386939,0.055208071,0.023588501,0.039104569,0.698716111,0.723680346,2.277038101,9.515664222,0.552795659,0.001144294,0.029171959,2.575057378,1.238358278,4.598955611,0.604041249,1.527181852,0.018708464,0.02032394,0.001670823,1.036106228,1.9574981,0.658931459,0.098882787,0.103069434,0.014622918,0.001091238,0.004028222,0.04787467,0.012516386,0.010490069,0.005946593,0.001501898
33_1.cdf,0.01591825,0.030843029,0.772040412,0.191147557,0.03599206,0.43912719,1.930672219,0.386800569,0.034488432,0.615113844,14.74591087,18.98922389,1.384688098,1.777699526,15.54827876,18.60097532,0.140627523,0.0342776,0.023596716,0.043330861,0.726674415,0.656978182,2.934983778,7.998787412,0.517945706,7.26E-05,0.077784463,1.42162502,1.228215965,3.428628396,0.671165818,0.94082886,0.028217897,0.030025466,0.013010905,1.135259627,1.542424465,0.647183055,0.100988822,0.086205944,0.011299204,0.000829663,0.000562676,0.038782853,0.010593371,0.007854215,0.001134803,0.001183735
