compound,2-Heptanone,2-Nonanone,Hexadecenal,Hexadecanal,Nonadecane,Methyl Hexadecanoate,"(E,E)-7,11,15-Trimethyl-3-methylene-hexadeca-1,6,10,14-tetraene",Eicosane,Octadecenal,Heneicosene 1,Heneicosene 2,Heneicosane,Docosene,"Octanoic Acid, Dodecyl Ester",Docosane,Tricosene,Tricosane,"Decanoic Acid, Dodecyl Ester",Tetracosene,Tetracosane,Pentacosene,Pentacosane,Hexacosene,Hexacosane,Docosyl Acetate,Heptacosene 1,Heptacosene 2,Heptacosane,Octacosene,Octacosane,Tetracosyl Acetate,Nonacosene 1,Nonacosene 2,Nonacosane,"Hexadecenoic Acid, Dodecyl Ester","Hexadecanoic Acid, Dodecyl Ester",Triacontene,Triacontane,Hexacosyl Acetate,Hentriacontene,Hentriacontane,"Eicosenoic Acid, Decyl Ester",Octacosyl Acetate,"Unknown (m/z 434, 405, 126)",Tritriacontene,Tritriacontane,"Unknown (m/z 434, 390)","Unknown (m/z 464, 338, 265, 201, 127)","Unknown (m/z 462, 433,139, 126)","Unknown (m/z 463, 418)","Octadecenoic Acid, Hexadecyl Ester"
compound_class,Ketone,Ketone,Aldehyde,Aldehyde,Alkane,Ester,Terpenoid,Alkane,Aldehyde,Alkene,Alkene,Alkane,Alkene,Ester,Alkane,Alkene,Alkane,Ester,Alkene,Alkane,Alkene,Alkane,Alkene,Alkane,Ester,Alkene,Alkene,Alkane,Alkene,Alkane,Ester,Alkene,Alkene,Alkane,Ester,Ester,Alkene,Alkane,Ester,Alkene,Alkane,Ester,Ester,Unknown,Alkene,Alkane,Unknown,Unknown,Unknown,Unknown,Ester
Avg. RI,890,1093,1804,1821,1898,1926,1927,2000,2009,2077,2082,2100,2178,2178,2200,2279,2300,2376,2381,2400,2485,2500,2584,2600,2611,2682,2688,2700,2782,2800,2814,2884,2889,2900,2959,2973,2983,3000,3016,3086,3100,3163,3215,3221,3284,3299,3326,3374,3422,3515,3550
46a.cdf,0.0179,0.0084,0.009,0.0626,0.0306,0.0009,0.0004,0.0144,0.0716,0.0154,0.0803,2.9733,0.1815,0.1249,1.7827,7.053,8.8219,0.3162,1.0359,3.9018,9.6507,8.9832,1.3355,1.2665,0.6822,2.8989,5.9498,6.6884,0.3962,0.5784,5.8877,2.1107,4.3113,5.8577,0.5202,0.4453,0.5648,0.6109,5.7115,4.1898,3.6338,0.0212,0.2759,0.265,0.2019,0.2556,0.1032,0.0261,0.0123,0.0466,0.0155
47a.cdf,0.0272,0.0096,0.0128,0.0243,0.0708,0.003,0.0017,0.0196,0.0247,0.0117,0.0532,3.4208,0.2685,0.0133,2.0319,7.8224,9.9594,0.178,1.674,4.25,11.4423,10.1296,1.4778,1.0914,0.6783,3.9398,7.1217,5.977,0.3689,0.3069,7.5131,2.6195,4.3326,1.798,0.3998,0.3444,0.4614,0.3817,5.7606,2.9179,0.2461,0.1417,0.1828,0.249,0.077,0.0503,0.0677,0.003,0.0219,0.0109,0.0099
48a.cdf,0.0194,0.0086,0.0043,0.0154,0.0323,0.0008,0.0005,0.0079,0.0116,0.0037,0.0082,1.9275,0.1232,0.0547,1.1444,7.1568,10.2106,0.1682,1.3296,4.3071,11.5008,11.5904,1.4079,1.1195,0.7944,3.3941,4.6581,6.9742,0.3626,0.3128,9.224,2.4758,3.6058,2.2857,0.4471,0.3865,0.5012,0.424,7.3761,3.2913,0.3267,0.1736,0.2491,0.3198,0.1066,0.0637,0.0547,0.0022,0.0232,0.0073,0.0058
49a.cdf,0.0265,0.0081,0.0073,0.0191,0.0374,0.0024,0.0015,0.0095,0.0221,0.0068,0.0311,2.0451,0.2433,0.4736,1.3246,6.8371,8.9713,0.308,1.6636,4.3117,10.74,10.0513,1.6398,1.3107,0.8605,3.7576,5.6437,6.4387,0.3922,0.3694,8.4856,2.7094,4.0401,2.6406,0.4832,0.4253,0.5394,0.4512,7.2651,3.6771,0.3993,0.3163,0.2901,0.3757,0.1265,0.073,0.0778,0.0036,0.0301,0.015,0.0218
4a.cdf,0.0258,0.0087,0.0076,0.0164,0.0601,0.0016,0.001,0.0197,0.0246,0.0102,0.0213,2.6624,0.169,0.0568,1.6986,5.9962,7.9347,0.2799,1.5181,4.2345,8.8128,8.5822,2.0014,1.8199,1.1886,3.5665,5.8326,6.2026,0.5604,0.6363,7.4672,3.2446,4.991,3.6048,0.6655,0.5621,0.7753,0.6335,6.2334,5.3637,0.7476,0.1704,0.3889,0.5572,0.2842,0.1545,0.1165,0.0003,0.0367,0.03,0.022
50a.cdf,0.0272,0.0085,0.0053,0.0171,0.0335,0.0005,0.0002,0.0062,0.0121,0.0069,0.017,1.6025,0.1406,0.29,1.0276,6.6675,8.5781,0.2824,1.6073,3.9425,10.1992,9.4636,1.6374,1.4358,0.8217,4.0144,6.0403,6.6446,0.4205,0.4582,7.8505,3.1419,4.5928,3.7461,0.4846,0.462,0.6014,0.4969,6.7069,4.6777,0.8233,0.1071,0.2477,0.2637,0.1734,0.093,0.0658,0.0121,0.0178,0.0141,0.0124
51a.cdf,0.0375,0.0099,0.01,0.0577,0.0372,0.0022,0.0015,0.0089,0.0163,0.0088,0.0363,1.9539,0.1688,1.0578,1.4485,6.2181,8.0765,1.0925,1.4597,4.3349,9.3748,8.686,1.9167,1.5269,0.8773,3.263,5.3983,6.1866,0.433,0.5486,7.4116,2.5836,4.223,4.7601,0.5966,0.5578,0.6545,0.5879,6.3991,4.6438,1.9369,0.201,0.3052,0.2994,0.2362,0.1625,0.0836,0.0367,0.0217,0.0295,0.021
52a.cdf,0.0293,0.0092,0.006,0.0154,0.0186,0.0008,0.0003,0.0051,0.0146,0.0051,0.0169,1.1935,0.0582,0.0196,0.5423,5.1317,7.9672,0.1236,0.6327,2.0394,9.1071,8.6434,1.2518,2.1968,0.8004,4.6563,8.7144,8.4483,0.6013,1.0682,2.7081,4.6953,8.3653,6.1165,0.6084,0.5385,0.8586,0.6394,2.2582,7.5987,1.2873,0.2365,0.1855,0.1832,0.1823,0.0902,0.0566,0.006,0.0121,0.0111,0.0448
53a.cdf,0.0226,0.0082,0.0067,0.0158,0.0359,0.0011,0.0006,0.0088,0.0248,0.011,0.0497,2.3097,0.1518,0.0343,1.119,6.8927,8.4315,0.1506,1.2344,2.5403,9.5759,8.4762,1.3506,1.6618,0.7064,4.4386,7.8954,7.3755,0.5009,0.6993,4.4616,3.8165,6.542,5.428,0.6168,0.5275,0.7152,0.5796,3.3144,5.6041,1.585,0.2277,0.2036,0.2152,0.172,0.1035,0.0639,0.0064,0.0147,0.012,0.0605
54a.cdf,0.0218,0.0083,0.0058,0.0147,0.0411,0.0012,0.0007,0.0101,0.0176,0.0062,0.0253,2.4438,0.0976,0.081,1.3986,5.92,8.4416,0.2137,0.9863,3.3458,9.1268,8.8418,1.4025,2.1643,0.852,4.0468,7.6246,7.6552,0.4926,0.8135,3.9804,3.5538,6.3782,5.7559,0.6031,0.519,0.7128,0.5886,3.3566,5.5749,1.6253,0.3142,0.2093,0.286,0.1786,0.1066,0.0595,0.0072,0.0353,0.0087,0.0448
55a.cdf,0.0353,0.0102,0.0116,0.0236,0.0253,0.0038,0.0023,0.0091,0.0396,0.0068,0.0429,2.0163,0.2064,0.0519,1.0714,5.7965,8.6799,0.1907,0.8038,2.4293,9.5761,9.0245,1.1342,1.2985,0.7335,4.1157,7.5089,7.2919,0.4101,0.4591,7.6499,3.6039,6.2112,4.2322,0.5327,0.4654,0.6322,0.5252,5.814,5.3949,0.7897,0.2211,0.2465,0.2767,0.1663,0.0798,0.0836,0.0054,0.0156,0.0127,0.0318
56a.cdf,0.0728,0.0313,0.0251,0.224,0.0733,0.0027,0.0016,0.025,0.1586,0.0534,0.1685,3.83,0.1776,0.7509,1.0335,9.8765,10.6012,0.5571,1.3632,1.4523,12.691,9.4734,1.6287,0.7324,0.404,4.953,8.5143,6.2807,0.4569,0.3664,0.5539,2.9251,5.3839,4.1109,0.6449,0.5377,0.6564,0.5163,0.6154,4.6647,1.8079,0.6894,0.1668,0.1469,0.206,0.1245,0.0564,0.1333,0.0047,0.0059,0.0696
57a.cdf,0.0186,0.007,0.0064,0.0144,0.039,0.0012,0.0007,0.0105,0.022,0.0068,0.0096,2.5295,0.1446,0.1044,1.5583,5.7981,7.7944,0.1667,1.55,3.6242,8.2369,8.1603,1.2863,1.3834,0.9407,3.8844,4.4521,6.1859,0.3896,0.4911,7.7142,3.6048,4.1642,4.6715,0.4907,0.4114,0.6541,0.5855,7.6511,7.0143,1.8259,0.1715,0.4993,0.5047,0.5437,0.2212,0.335,0.0048,0.0232,0.0754,0.0165
58a.cdf,0.0219,0.0078,0.0079,0.0168,0.04,0.0021,0.0016,0.0113,0.0239,0.0065,0.0128,2.3804,0.1371,0.0233,1.6042,5.6556,7.8473,0.1274,1.624,4.1789,8.3466,8.4428,1.4085,1.8557,1.0551,3.9983,5.178,6.2336,0.408,0.5243,7.6892,3.7269,4.5241,4.304,0.4429,0.3732,0.6274,0.515,7.039,6.7353,1.1195,0.1889,0.341,0.4134,0.4115,0.1453,0.1448,0.0027,0.0277,0.0334,0.0131
59a.cdf,0.0296,0.0093,0.0107,0.0247,0.0292,0.0018,0.0011,0.0103,0.0211,0.0126,0.0155,2.1727,0.1835,0.1873,1.2603,6.2047,8.3785,0.2068,1.4411,3.5214,9.0551,9.0351,1.507,1.741,0.7057,4.6001,5.6833,7.3192,0.4629,0.6344,4.6378,3.8628,4.0396,5.9449,0.4845,0.4042,0.6059,0.5635,5.3935,5.7762,2.6093,0.1005,0.2703,0.2466,0.2622,0.1661,0.0884,0.0106,0.0128,0.0333,0.0209
5a.cdf,0.0337,0.0136,0.0976,1.2513,0.0663,0.002,0.0012,0.0227,0.3995,0.0413,0.0748,3.2517,0.1392,1.5664,0.9443,8.0119,9.2346,1.321,1.1852,1.5441,10.8432,8.2714,2.4732,0.9841,0.5719,4.8412,7.5671,6.1234,0.695,0.5567,0.7299,3.2863,4.742,4.1714,1.2265,0.9295,0.9639,0.7059,0.7976,5.1678,1.9133,1.4895,0.3108,0.2866,0.3372,0.205,0.061,0.3592,0.006,0.0097,0.1715
60a.cdf,0.0304,0.0086,0.0093,0.0196,0.0638,0.0064,0.005,0.0214,0.0414,0.0259,0.144,3.1851,0.5463,0.2063,1.9147,6.3717,7.856,0.2214,1.3588,3.1663,8.2993,7.9442,1.5888,2.4829,0.8226,4.2464,7.4981,7.1606,0.5936,0.9502,2.9739,4.03,6.4557,5.4414,0.5692,0.473,0.7352,0.574,2.8542,6.1582,1.5819,0.4774,0.1899,0.1856,0.1928,0.0976,0.096,0.0081,0.0139,0.0364,0.0665
61a.cdf,0.0091,0.0129,0.0052,0.0179,0.0175,0.0006,0,0.0059,0.0095,0.015,0.0161,1.6095,0.0948,0.0365,0.7458,9.8977,14.3197,0.2512,0.8361,2.6384,14.4995,14.4259,1.1315,0.6942,0.4678,2.3884,3.6781,7.3187,0.3283,0.3547,6.9555,1.4806,2.4564,3.0477,0.4149,0.3729,0.4496,0.5007,4.6834,2.2777,0.9369,0.0577,0.1427,0.1146,0.1013,0.0771,0.0544,0.0042,0.0137,0.0146,0.0171
62a.cdf,0.011,0.0059,0.0034,0.0107,0.075,0.0003,0.0001,0.0214,0.0056,0.0124,0.0931,4.1799,0.175,0.0115,2.2717,8.0172,10.2352,0.2104,0.9765,3.7298,11.2379,10.0448,1.2055,1.0214,0.6904,2.5251,6.5197,6.8108,0.336,0.3503,8.0653,1.7252,4.0659,3.2018,0.4225,0.3601,0.4445,0.4075,6.6461,2.4672,0.5502,0.081,0.226,0.2647,0.0821,0.0649,0.0783,0.0024,0.0194,0.0183,0.0183
63a.cdf,0.015,0.0066,0.0043,0.013,0.064,0.0005,0.0003,0.016,0.0215,0.0111,0.0343,3.2707,0.204,0.1456,2.0105,7.3346,9.421,0.2731,1.5368,4.616,10.3274,9.877,1.4036,1.124,0.7733,2.8125,4.3948,6.6759,0.3475,0.3857,8.0365,1.907,3.183,4.0908,0.4856,0.4175,0.5057,0.4707,7.7317,3.3976,1.1371,0.1711,0.3603,0.411,0.1455,0.1154,0.2009,0.0093,0.0278,0.0505,0.0245
64a.cdf,0.0306,0.0125,0.0084,0.0215,0.0471,0.0011,0.0003,0.0159,0.0177,0.0221,0.086,3.1302,0.192,0.0579,1.4809,8.9396,10.8915,0.1827,1.1685,2.9957,12.4899,10.9593,1.2336,1.0012,0.5302,3.7498,6.8572,8.048,0.3825,0.4354,2.8538,2.0589,3.8701,5.5562,0.4728,0.4003,0.5162,0.5,2.8588,3.049,2.1505,0.0826,0.165,0.1415,0.1201,0.1263,0.0556,0.0039,0.002,0.0127,0.0143
65a.cdf,0.0257,0.0098,0.0103,0.0802,0.1032,0.0009,0.0004,0.0307,0.0414,0.0524,0.4523,5.0637,0.248,0.6748,1.4239,10.9417,10.678,0.7004,1.3492,1.5435,13.511,9.2198,1.8006,0.7612,0.4415,4.0996,9.6746,5.7886,0.4481,0.3688,0.6142,2.0708,5.8983,3.3072,0.6222,0.5431,0.6062,0.4763,0.6296,3.1238,1.1747,0.5851,0.1535,0.1374,0.1187,0.0881,0.0576,0.1888,0.0041,0.007,0.049
66a.cdf,0.0182,0.0068,0.0085,0.0169,0.0261,0.0016,0.001,0.007,0.0175,0.0044,0.0162,1.4558,0.1055,0.1243,0.8829,5.3514,7.825,0.2896,0.9562,3.2242,9.1973,8.6325,1.541,1.6932,0.8905,4.1689,7.6031,6.7313,0.5089,0.6017,7.0406,3.8238,6.4334,4.1681,0.537,0.4926,0.6917,0.5694,6.0381,6.2115,0.8666,0.1615,0.2688,0.3042,0.2142,0.1014,0.0633,0.0214,0.0267,0.0086,0.0495
67a.cdf,0.028,0.0096,0.0076,0.0177,0.0282,0.0009,0.0004,0.0095,0.0211,0.0053,0.0107,1.8582,0.0679,0.01,1.0494,6.227,9.2312,0.1386,1.0367,3.4587,10.0236,9.9769,1.2084,1.266,0.8576,3.9563,5.692,7.3076,0.3769,0.3974,8.8222,3.2068,4.648,3.6313,0.4742,0.4032,0.5581,0.4677,7.0712,4.7583,0.6082,0.085,0.2512,0.3551,0.1616,0.0821,0.0851,0.0034,0.024,0.0121,0.012
68a.cdf,0.0293,0.0088,0.0123,0.0222,0.0333,0.0023,0.0013,0.0095,0.0339,0.0076,0.0231,2.0503,0.1401,0.0281,1.2603,6.4219,8.8957,0.1584,1.2326,3.5582,9.8118,9.5186,1.2235,1.2064,0.8149,3.6627,5.5448,6.8946,0.3755,0.4068,8.43,3.0086,4.5581,4.0113,0.4915,0.4256,0.5707,0.4943,7.115,5.2004,0.9382,0.1257,0.2929,0.3958,0.2283,0.1121,0.1236,0.0057,0.0302,0.0255,0.0278
69a.cdf,0.0348,0.0094,0.0079,0.0192,0.0171,0.0014,0.0007,0.0053,0.0252,0.0084,0.0294,1.1632,0.0971,0.031,0.5314,5.8198,7.9566,0.127,0.7426,1.7983,9.3866,8.4649,1.1723,1.2996,0.705,4.5892,7.6957,7.2622,0.443,0.576,7.0709,3.9315,6.2371,5.4444,0.5315,0.4578,0.6502,0.5699,5.9334,6.066,1.8946,0.0959,0.2682,0.2447,0.2118,0.1325,0.161,0.0056,0.008,0.0423,0.0229
6a.cdf,0.0491,0.0141,0.0355,0.1957,0.1334,0.0042,0.0028,0.0393,0.0693,0.0857,0.0734,5.199,0.295,0.1474,1.6416,9.6974,10.7311,0.2903,1.7847,2.0005,11.7649,9.526,1.6965,0.926,0.5166,5.193,6.451,7.012,0.5294,0.4757,0.6229,3.3203,3.6481,4.9025,0.59,0.5009,0.672,0.5533,0.6322,4.6772,2.1752,0.1322,0.1646,0.1547,0.2729,0.1707,0.0375,0.1395,0.0006,0.0022,0.0502
70a.cdf,0.0322,0.0136,0.01,0.0188,0.0355,0.0021,0.0014,0.0114,0.0233,0.0073,0.0404,2.3588,0.0952,0.0496,1.1772,5.0976,7.8714,0.1897,0.5799,2.2572,8.2932,8.1432,1.1807,1.9811,0.8188,3.8729,8.1515,7.5342,0.5025,0.8293,5.4643,4.0603,7.9801,5.2349,0.5502,0.4893,0.7571,0.5891,4.0649,7.3735,1.1071,0.1975,0.2205,0.2598,0.2216,0.1002,0.0781,0.0074,0.0198,0.0138,0.0306
71a.cdf,0.0656,0.0197,0.0185,0.0682,0.0756,0.0043,0.0027,0.0298,0.0872,0.1113,0.0916,6.7913,0.2035,0.1672,1.737,11.5543,13.8931,0.2669,1.3664,1.9122,13.765,12.195,1.255,0.7943,0.4382,4.9806,5.7894,7.8658,0.3918,0.3242,0.5266,1.9381,2.4598,3.6727,0.4053,0.3512,0.442,0.3928,0.5032,1.669,0.9843,0.0864,0.0589,0.0522,0.0543,0.0497,0.0435,0.0089,0.0022,0.0052,0.0279
72a.cdf,0.0254,0.0069,0.0087,0.0178,0.0414,0.0025,0.0019,0.0117,0.0173,0.0088,0.037,2.3453,0.1682,0.1631,1.4654,6.2925,8.3544,0.194,1.4194,4.1235,10.0157,9.1555,1.4827,1.462,0.9247,3.7683,6.9478,6.3431,0.3882,0.4257,7.8692,3.0168,5.1657,3.3646,0.4448,0.381,0.5375,0.4504,6.8729,4.4934,0.5989,0.1373,0.2688,0.3837,0.1552,0.084,0.0871,0.0037,0.0332,0.0197,0.0129
73a.cdf,0.0361,0.0092,0.0059,0.0184,0.0284,0.0009,0.0005,0.0071,0.0166,0.0085,0.0119,1.3919,0.1359,0.1444,0.8773,7.2533,9.3038,0.1445,1.8532,4.3362,10.9208,10.903,1.4609,1.2067,0.8038,3.7029,3.8981,7.1196,0.3524,0.3565,8.8454,2.5641,3.2628,3.6272,0.4255,0.3674,0.5002,0.4446,7.6597,4.0719,0.8518,0.0786,0.2632,0.3382,0.1633,0.0972,0.0779,0.003,0.0243,0.0141,0.0107
74a.cdf,0.0414,0.008,0.0044,0.0142,0.0288,0.0005,0.0002,0.0063,0.0105,0.009,0.0187,1.28,0.1461,0.3424,0.8186,6.764,8.4904,0.2171,1.7925,4.504,10.2844,10.2035,1.5935,1.552,0.9477,3.6494,4.5353,6.9605,0.3853,0.4349,8.4327,2.6577,3.6024,3.927,0.4929,0.4254,0.5512,0.4796,7.8368,4.2103,0.8554,0.261,0.3508,0.4075,0.1689,0.103,0.1063,0.0097,0.0301,0.0251,0.0228
75a.cdf,0.0263,0.0086,0.0081,0.0222,0.0266,0.0017,0.0009,0.0059,0.0154,0.0072,0.0197,1.4135,0.1326,0.9052,1.0506,6.467,8.3266,0.6438,1.8291,4.4244,9.8931,9.4145,1.8414,1.476,0.8203,3.7095,4.653,6.5505,0.3976,0.4607,7.6355,2.7579,3.6222,4.4013,0.5271,0.4593,0.5957,0.5153,7.3826,4.8451,1.3545,0.1449,0.3149,0.3206,0.2237,0.1308,0.0895,0.0427,0.0307,0.0335,0.0203
76a.cdf,0.1529,0.0297,0.0162,0.1031,0.1429,0.0032,0.0021,0.0554,0.0954,0.1749,0.7356,6.3874,0.2914,0.5068,1.6684,10.5572,9.741,0.4296,1.6167,1.5113,12.8144,8.3288,1.6174,0.7525,0.4019,5.1517,8.6953,5.6419,0.4089,0.3588,0.5975,2.6985,5.7651,3.5979,0.4876,0.4334,0.5299,0.4338,0.5624,3.9403,1.4584,0.4337,0.1361,0.1216,0.1576,0.1004,0.0513,0.0566,0.0027,0.0038,0.0389
77a.cdf,0.0432,0.0132,0.0091,0.0219,0.0314,0.0012,0.0006,0.0096,0.0209,0.0071,0.0111,2.0068,0.1052,0.2281,1.2425,6.729,9.8936,0.3188,1.191,3.7079,10.5876,10.6,1.2632,0.9639,0.7054,3.318,4.5429,6.7713,0.3465,0.3072,9.2213,2.6982,3.886,2.7699,0.4979,0.4462,0.5539,0.4509,7.9064,4.6204,0.4999,0.3205,0.2974,0.3661,0.1851,0.0859,0.0959,0.0191,0.0274,0.0181,0.0351
78a.cdf,0.0268,0.0086,0.0099,0.0195,0.0406,0.0019,0.0011,0.0113,0.024,0.0066,0.0144,2.7472,0.1116,0.1716,1.6233,5.8335,8.6291,0.2599,1.0107,3.3972,8.5108,8.7931,1.2353,1.4702,0.8442,3.9378,5.3841,6.892,0.4106,0.4815,7.6234,3.6258,4.7183,4.2134,0.5289,0.4572,0.6343,0.5248,6.8846,6.2705,0.8674,0.3465,0.3475,0.4283,0.2735,0.115,0.1289,0.0076,0.0287,0.0261,0.0412
79a.cdf,0.0397,0.0126,0.0123,0.0242,0.0342,0.0017,0.0008,0.0109,0.0304,0.0067,0.0126,2.3102,0.075,0.071,1.3689,5.5925,8.9696,0.1957,1.0031,3.5279,9.396,9.548,1.1699,1.1929,0.8017,3.8569,5.1586,6.9754,0.3574,0.3878,8.3696,3.3261,4.4493,3.8922,0.4619,0.3993,0.5673,0.4873,7.6461,5.9582,0.8323,0.1468,0.343,0.3898,0.2702,0.1123,0.1292,0.007,0.0285,0.0288,0.0101
7a.cdf,0.0262,0.0092,0.0065,0.0154,0.0619,0.0049,0.0045,0.0164,0.0135,0.0055,0.0331,3.5913,0.0912,0.0009,1.8716,6.1568,8.9399,0.2333,0.7983,3.1878,9.0399,8.9168,1.4702,1.8814,0.8523,4.0933,7.6494,7.3766,0.5459,0.7469,3.9247,3.7306,6.2441,5.0701,0.5415,0.4589,0.713,0.5828,2.9594,5.9577,1.2654,0.0321,0.2094,0.2246,0.2544,0.1288,0.0341,0.0008,0.0111,0.0076,0.0082
80a.cdf,0.0303,0.0118,0.0181,0.0302,0.0498,0.006,0.0038,0.0157,0.0402,0.0183,0.0576,2.8093,0.3101,0.3368,1.7701,6.4289,8.6043,0.3244,1.47,3.6062,9.118,8.8682,1.448,1.3728,0.7651,4.0599,5.5895,6.583,0.4282,0.4292,7.2703,3.5216,4.5365,3.7142,0.5511,0.4977,0.6443,0.5055,6.0409,5.6804,0.7573,0.4702,0.287,0.3584,0.2424,0.098,0.1035,0.0139,0.0243,0.0197,0.0587
81a.cdf,0.073,0.0151,0.018,0.4944,0.0502,0.001,0.0005,0.015,0.593,0.0292,0.2342,3.1404,0.2064,0.2752,0.9623,8.9682,9.1208,0.5082,1.2186,1.5032,11.6186,8.2038,1.5498,0.7986,0.449,4.6115,9.5405,5.7812,0.5632,0.4802,0.6065,3.2148,7.5305,4.0107,0.8099,0.687,0.7981,0.5945,0.6511,6.1631,1.8495,0.8682,0.2187,0.1933,0.2644,0.1527,0.0715,0.0941,0.0065,0.0079,0.1833
82a.cdf,0.1249,0.0226,0.0246,0.4867,0.071,0.0018,0.001,0.0191,1.1978,0.0353,0.0776,2.3984,0.1412,0.2263,0.5344,8.6229,9.909,0.4128,1.1148,1.0669,12.3052,9.1369,1.4144,0.7096,0.4014,5.3703,8.2774,6.6998,0.5676,0.4187,0.5976,3.6275,5.754,3.9469,1.0719,0.838,0.9157,0.6316,0.7394,6.1285,1.3773,1.1439,0.2284,0.2019,0.2804,0.1216,0.0993,0.2167,0.0067,0.0121,0.2703
83a.cdf,0.0677,0.0128,0.0137,0.0824,0.0229,0.0023,0.0017,0.0108,0.02,0.0142,0.0535,1.4612,0.1016,0.3723,0.5646,7.0353,10.3006,0.368,0.6405,1.6444,12.6039,10.4538,1.35,0.8838,0.462,4.4773,9.3871,7.9193,0.4529,0.4547,0.8441,2.7861,6.8726,5.5481,0.8671,0.6579,0.7888,0.6403,1.2662,4.9652,2.367,0.3931,0.1732,0.1549,0.1658,0.1294,0.0632,0.0286,0.0045,0.0103,0.0386
84a.cdf,0.035,0.009,0.0138,0.0274,0.0908,0.0037,0.0021,0.0222,0.0235,0.0366,0.1455,3.3005,0.4935,0.9185,2.1483,7.8583,8.9718,0.5797,2.1705,4.5703,10.2947,9.5531,1.7649,1.2004,0.6952,3.3888,5.2827,6.4061,0.3864,0.4151,6.4679,2.0381,3.2914,4.0811,0.546,0.4684,0.5395,0.5149,5.5278,3.0389,1.1987,0.5469,0.2792,0.2465,0.1129,0.0937,0.0912,0.0361,0.0078,0.0156,0.0487
85a.cdf,0.0352,0.0083,0.0047,0.0152,0.0395,0.0007,0.0004,0.0095,0.014,0.0105,0.0456,2.0828,0.1566,0.5418,1.2999,6.8579,8.4511,0.4149,1.6297,4.1775,10.3424,9.3666,1.6752,1.2507,0.8125,3.2974,5.5431,6.3473,0.3864,0.4286,7.8283,2.3921,4.0996,4.1155,0.5436,0.5034,0.597,0.5384,7.1883,4.1583,1.2866,0.3193,0.3328,0.3552,0.1765,0.1213,0.0998,0.0271,0.021,0.0216,0.0281
86a.cdf,0.0376,0.0083,0.008,0.0174,0.1481,0.0024,0.0018,0.0464,0.0177,0.0355,0.245,4.7026,0.4328,0.5583,2.9847,7.9137,9.2198,0.4356,1.6806,4.186,10.0915,8.8685,1.5396,1.2431,0.6409,3.0569,6.3584,6.2712,0.3769,0.4219,5.6767,1.8631,4.0575,3.9297,0.5756,0.4915,0.5378,0.458,5.362,2.9075,0.9693,0.669,0.2756,0.2636,0.1006,0.0816,0.1125,0.0159,0.0102,0.0251,0.0662
87a.cdf,0.0725,0.0152,0.0122,0.0247,0.0648,0.0019,0.0009,0.0184,0.0213,0.015,0.0759,3.2302,0.18,0.0362,1.9277,7.6179,10.0914,0.1555,1.2166,4.2526,11.5315,10.4491,1.1847,1.0629,0.6842,2.707,6.1662,6.8663,0.311,0.3538,7.9172,1.8351,4.082,3.692,0.4214,0.356,0.4601,0.4501,6.0306,2.7874,0.8496,0.0879,0.1994,0.2014,0.0886,0.0716,0.0863,0.004,0.0073,0.0141,0.0104
88a.cdf,0.0381,0.0074,0.0053,0.0139,0.0133,0.0011,0.0007,0.0036,0.0143,0.0037,0.0109,0.6734,0.0413,0.3031,0.2695,3.1416,6.8499,0.6223,0.2634,1.0563,7.4315,7.1223,1.2062,1.6707,0.7449,3.8727,7.963,7.4882,0.5739,1.0322,6.1208,4.5106,8.8575,5.8336,0.6919,0.6539,1.1014,0.818,4.529,10.4061,1.986,0.3444,0.298,0.3064,0.6614,0.2259,0.1105,0.0248,0.0151,0.0213,0.0452
89a.cdf,0.0523,0.0117,0.0191,0.2586,0.037,0.0018,0.0012,0.0119,0.188,0.027,0.0955,1.6577,0.1419,0.2635,0.5829,8.3545,9.8149,0.5062,1.1283,1.4578,12.7091,9.4873,1.5032,0.8379,0.4416,5.386,9.3973,6.976,0.5304,0.4476,0.9041,3.5521,6.458,4.2232,0.773,0.6421,0.7521,0.5576,1.2551,5.2697,1.3343,0.9036,0.2175,0.1913,0.192,0.1049,0.0852,0.0682,0.0054,0.0083,0.1742
8a.cdf,0.0278,0.0084,0.0083,0.0215,0.0679,0.003,0.0021,0.0192,0.0241,0.0091,0.0525,2.831,0.1689,0.3307,1.7995,5.6665,7.4288,0.3531,1.2765,3.5458,8.1984,7.6031,1.7515,1.8027,1.0271,3.6519,6.8345,5.7537,0.5317,0.633,7.1271,3.5776,6.114,3.718,0.6413,0.5917,0.8109,0.6182,6.2267,6.3227,0.8442,0.409,0.3952,0.4461,0.3261,0.1444,0.1559,0.0064,0.0189,0.0331,0.0402
90a.cdf,0.0325,0.0079,0.0055,0.0144,0.0301,0.0027,0.0024,0.0084,0.0104,0.0057,0.0074,1.7212,0.0841,0.0577,1.1278,5.8165,8.3135,0.146,1.5369,4.5573,9.1744,9.5498,1.4792,1.735,1.0743,3.9174,4.6415,6.7513,0.3967,0.4827,8.1903,3.2992,4.1621,4.2116,0.507,0.4235,0.6237,0.5197,7.3718,5.6341,1.0087,0.1577,0.2945,0.3624,0.2489,0.114,0.0913,0.0065,0.028,0.02,0.034
