compound,2-Heptanone,2-Nonanone,Hexadecenal,Hexadecanal,Nonadecane,Methyl Hexadecanoate,"(E,E)-7,11,15-Trimethyl-3-methylene-hexadeca-1,6,10,14-tetraene",Eicosane,Octadecenal,Heneicosene 1,Heneicosene 2,Heneicosane,Docosene,"Octanoic Acid, Dodecyl Ester",Docosane,Tricosene,Tricosane,"Decanoic Acid, Dodecyl Ester",Tetracosene,Tetracosane,Pentacosene,Pentacosane,Hexacosene,Hexacosane,Docosyl Acetate,Heptacosene 1,Heptacosene 2,Heptacosane,Octacosene,Octacosane,Tetracosyl Acetate,Nonacosene 1,Nonacosene 2,Nonacosane,"Hexadecenoic Acid, Dodecyl Ester","Hexadecanoic Acid, Dodecyl Ester",Triacontene,Triacontane,Hexacosyl Acetate,Hentriacontene,Hentriacontane,"Eicosenoic Acid, Decyl Ester",Octacosyl Acetate,"Unknown (m/z 434, 405, 126)",Tritriacontene,Tritriacontane,"Unknown (m/z 434, 390)","Unknown (m/z 464, 338, 265, 201, 127)","Unknown (m/z 462, 433,139, 126)","Unknown (m/z 463, 418)","Octadecenoic Acid, Hexadecyl Ester"
compound_class,Ketone,Ketone,Aldehyde,Aldehyde,Alkane,Ester,Terpenoid,Alkane,Aldehyde,Alkene,Alkene,Alkane,Alkene,Ester,Alkane,Alkene,Alkane,Ester,Alkene,Alkane,Alkene,Alkane,Alkene,Alkane,Ester,Alkene,Alkene,Alkane,Alkene,Alkane,Ester,Alkene,Alkene,Alkane,Ester,Ester,Alkene,Alkane,Ester,Alkene,Alkane,Ester,Ester,Unknown,Alkene,Alkane,Unknown,Unknown,Unknown,Unknown,Ester
Avg. RI,890,1093,1804,1821,1898,1926,1927,2000,2009,2077,2082,2100,2178,2178,2200,2279,2300,2376,2381,2400,2485,2500,2584,2600,2611,2682,2688,2700,2782,2800,2814,2884,2889,2900,2959,2973,2983,3000,3016,3086,3100,3163,3215,3221,3284,3299,3326,3374,3422,3515,3550
16a.cdf,0.0299,0.007,0.0025,0.0116,0.0123,0.0004,0.0002,0.0041,0.0109,0.0032,0.0029,0.8429,0.0354,0.0331,0.5144,5.768,9.0378,0.1721,1.1513,3.9095,10.476,10.6052,1.4517,1.3228,0.8029,4.2151,4.8105,7.4477,0.3954,0.3981,8.2697,3.309,3.9567,3.9381,0.4602,0.4089,0.5672,0.4715,7.4055,5.5611,0.8558,0.1095,0.2841,0.3784,0.2624,0.1144,0.0794,0.0103,0.0362,0.019,0.028
17a.cdf,0.0453,0.0125,0.0078,0.0211,0.0254,0.0033,0.0027,0.0086,0.0172,0.0076,0.0135,1.2254,0.0972,0.0493,0.6941,7.0296,9.3485,0.1497,1.5174,3.6529,11.275,11.0532,1.4479,1.1734,0.7656,4.0522,4.8321,7.4669,0.3927,0.3606,8.568,2.7911,3.6528,3.5521,0.498,0.436,0.5557,0.4633,7.0152,3.9315,0.712,0.1427,0.2433,0.2917,0.1518,0.0835,0.0572,0.0229,0.0218,0.0098,0.0507
18a.cdf,0.0366,0.0098,0.0075,0.0874,0.0485,0.0009,0.0004,0.0123,0.0616,0.0199,0.0176,2.9378,0.099,0.01,1.5646,7.5935,9.9581,0.166,1.576,3.8861,10.1758,9.9585,1.4213,1.4203,0.7524,4.691,5.3083,7.6402,0.4093,0.4905,5.7905,3.1357,3.5792,5.2217,0.4645,0.3903,0.5399,0.4849,3.6476,3.9052,1.6233,0.0511,0.1568,0.1428,0.1451,0.1031,0.1735,0.0038,0.0023,0.0672,0.0106
19a.cdf,0.0217,0.0122,0.0128,0.0372,0.098,0.0023,0.0009,0.0386,0.117,0.0561,0.0492,2.4595,0.2797,0.1289,1.1584,8.349,9.3109,0.2738,2.3997,3.6726,10.5468,9.878,1.6272,1.0564,0.7648,4.5139,4.1662,6.3143,0.3911,0.4072,8.2667,2.7468,3.0817,3.2762,0.539,0.4695,0.5442,0.5217,6.4601,3.5803,0.8712,0.2034,0.2997,0.2502,0.1506,0.0967,0.2239,0.1057,0.0132,0.0528,0.1019
1a.cdf,0.0234,0.0064,0.0083,0.0173,0.0233,0.0023,0.0014,0.0052,0.0266,0.0018,0.0038,1.2558,0.0865,0.1983,0.6725,7.0038,9.1341,0.5413,1.0921,3.7202,10.9059,10.5749,2.5649,1.3821,1.0975,2.912,4.2006,6.6004,0.6165,0.5963,8.289,2.5989,4.0979,2.9476,0.7324,0.6453,0.8116,0.6799,6.5627,4.834,0.7941,0.0933,0.4182,0.5321,0.3317,0.1974,0.0771,0.0043,0.0333,0.0254,0.0186
20a.cdf,0.0805,0.024,0.0095,0.0236,0.0423,0.0012,0.0006,0.0114,0.0283,0.0179,0.0184,2.0423,0.219,0.2172,1.2444,7.98,9.6476,0.2845,2.09,4.0625,10.7918,10.5775,1.5007,1.0212,0.7177,3.6953,3.854,6.9713,0.3688,0.3658,7.9236,2.3333,2.9188,4.1915,0.5445,0.4969,0.5857,0.5308,6.0971,3.7164,1.4055,0.2426,0.2634,0.2957,0.1868,0.1217,0.0971,0.0495,0.0139,0.0147,0.0614
21a.cdf,0.0348,0.0123,0.0063,0.0174,0.0437,0.0008,0.0005,0.0116,0.0199,0.0112,0.0152,2.2053,0.1458,0.0759,1.4872,6.292,8.2805,0.2158,1.6771,4.2682,9.0322,9.0534,1.407,1.406,0.8839,3.7087,4.2538,6.6317,0.3807,0.4959,7.6611,2.8534,3.3892,5.2001,0.5321,0.4636,0.6108,0.5815,7.2223,5.1711,2.3101,0.1958,0.4005,0.4765,0.3264,0.2055,0.1957,0.0119,0.0282,0.0438,0.0451
22a.cdf,0.0788,0.0369,0.0105,0.0234,0.0575,0.0014,0.0007,0.0165,0.0288,0.0175,0.0169,2.5313,0.2538,0.0495,1.5369,7.3638,9.1857,0.1491,1.8557,4.317,9.8574,10.1083,1.2467,1.1105,0.7259,3.2712,3.4965,7.0217,0.3346,0.3857,8.1429,2.2244,2.7646,4.8872,0.4811,0.415,0.5247,0.5029,7.5471,4.0096,1.8791,0.0869,0.3391,0.4436,0.2163,0.1612,0.169,0.0149,0.0279,0.0343,0.0379
23a.cdf,0.0329,0.0119,0.008,0.0204,0.0354,0.0016,0.0012,0.0112,0.019,0.0109,0.0108,1.9711,0.1477,0.075,1.219,6.939,9.1034,0.2263,1.4894,4.1425,9.6596,10.2866,1.2759,1.1256,0.7486,3.2819,3.4729,7.3018,0.3458,0.4153,8.3818,2.2884,2.8186,5.3129,0.5254,0.4638,0.5683,0.5789,7.6237,4.1443,2.3031,0.1945,0.3713,0.394,0.2334,0.1826,0.1121,0.0314,0.0177,0.0202,0.0428
24a.cdf,0.0844,0.0398,0.0131,0.1461,0.0581,0.0033,0.0024,0.0243,0.257,0.0521,0.1072,2.6457,0.0666,0.0077,0.3484,8.9825,12.6364,0.1253,0.6018,0.9238,14.9398,12.2447,1.0137,0.676,0.3671,4.9869,9.0823,8.6445,0.4001,0.3361,0.7593,2.3989,4.8419,4.6484,0.4917,0.4158,0.5303,0.4515,0.7618,2.9839,1.3665,0.0937,0.0807,0.0698,0.0975,0.0684,0.0454,0.0257,0.0009,0.0024,0.0482
