File_ID,treatment,colony,ID,Carvone,Hexadecanal,Methyl.Hexadecanoate,Ethyl.Hexadecanoate,Octadecenal,Methyl.Octadecenoate,Heneicosane,Ethyl.Octadecenoate,Ethyl.Octadecanoate,Docosane,Tricosene,Tricosane,Decanoic.Acid..Dodecyl.Ester,Tetracosane,Pentacosene,Pentacosane,Methyl.Tetradecanoate,Ethyl.Tetradecanoate,Hexadecenal,Heneicosene,Hexacosene,Hexacosane,Heptacosene,Heptacosane,Octacosane,Decanoic.acid..Hexadecyl.Ester,Octacosene,Tetracosyl.Acetate,Nonacosene,Nonacosane,Unknown1..mz.108.79..mw.402,Hexacosyl.Acetate,Triacontene,Hexadecenoic.Acid..Dodecyl.Ester,Octadecenoic.Acid..Decyl.Ester,Hentriacontene,Hentriacontane,Eicosenoic.Acid..Decyl.Ester,Tritriacontene,Tritriacontane,Unknown2..mz434.390..mw..,Octadecenoic.Acid..Hexadecyl.Ester,Unknown3..mz.464.338.265.201.127..mw..,Hexadecenoic.acid..Hexadecyl.Ester,Hexadecenoic.acid..Octadecenyl.Ester,Octadecenoic.Acid..Hexadecenyl.Ester,Octanoic.Acid,Octanoic.Acid..Ethyl.Ester
20_2.cdf,group,comte,60,0.477047955,0.584538765,0.013538256,0.196555551,0.712155813,0.089261209,3.451487273,3.118001317,2.255424693,0.975792127,8.527919418,10.83836137,1.96582314,1.641783546,9.155316367,9.71458986,0.009160104,0.034852728,0.047860536,0.082929664,0.80506783,0.889308392,6.12485222,7.800998519,0.486149417,0.091613811,0.170119393,2.810583655,4.335879534,6.087753636,0.64779416,3.301123695,0.18125702,0.394703405,0.572912013,4.054764282,3.478568078,2.417305256,0.238280154,0.096757999,0.108004345,0.342880573,0.061092453,0.322837963,0.079551948,0.167967332,0.011465265,0.028007956
23_2.cdf,iso,comte,1,0.027835735,0.024338373,1.784476564,0.018490586,0.022373124,0.634369417,2.587376335,0.124245337,0.017842008,0.868842412,10.91529969,16.86289003,0.834654434,1.760179423,12.6327823,15.3339548,0.132737015,0.011943492,0.019400746,0.036928232,0.384164365,0.694341327,4.349204909,11.97503827,0.481297615,0.00019085,0.081104102,0.345560618,1.929118491,8.033787173,0.543265948,0.359217523,0.017578545,0.010760628,0.007281799,1.875138831,3.461752513,0.503418816,0.139476307,0.105619526,0.012320616,0.002998418,0,0.013129679,0.013281187,0.005386316,0.001179926,0.003425648
24_2.cdf,group,comte,2,0.186795118,0.04738589,0.51535692,0.030215066,0.063041257,0.390584171,1.696431626,0.086334471,0.034670261,0.15548044,11.63020707,18.26240802,0.535882393,0.439193453,21.98509484,18.62037907,0.062616592,0.022530443,0.037851766,0.100262195,0.970996406,0.650818055,6.073471207,8.346697351,0.772157859,0.000161107,0.270381909,0.692493192,1.298346699,2.037396146,1.134429317,0.576283819,0.082694471,0.018333774,0.067968774,0.779302691,0.66987583,0.601852894,0.008954537,0.021949833,0.01005114,0,0,0,0,0,0.006900589,0.005761336
28_2.cdf,iso,comte,6,0.058508737,0.027720804,0.522276578,0.708503368,0.031819377,0.305178224,0.671687487,0.664692288,0.094179685,0.169869468,11.70169037,13.73117229,0.8230034,0.719647207,15.6144493,15.42840018,0.041366259,0.047147866,0.01863561,0.09473134,0.908814157,0.747647496,9.60337934,9.11163333,0.677870812,0,0.32385524,0.640259386,4.361684552,5.284841926,0.561144233,0.645131677,0.040381076,0.033296893,0.093164119,1.892084291,2.554579748,0.693124796,0.14186534,0.112882477,0.009409193,0,0.004713952,0.061517749,0.00757108,0.012850989,0.000741572,0.000874747
29_2.cdf,iso,comte,7,0.43609707,0.060916,0.988893413,0.035982717,0.041596373,0.576331948,1.917675912,0.094047934,0.030681077,0.467678202,9.845250675,14.97511173,0.949218553,1.528370291,12.57181746,14.86111395,0.207160381,0.025249332,0.039582954,0.069086894,0.688255985,1.024702186,7.317920695,11.71564593,0.624901133,0.004728476,0.099558879,0.5448022,3.07922574,7.950164281,0.596215685,0.505913126,0.021435635,0.025966385,0.01052397,1.995573959,3.153485794,0.621921878,0.124079919,0.09761672,0.002310148,0.00026692,0.002789872,0.037883627,0.006613151,0.010271274,0.014414558,0.000949011
33_2.cdf,group,comte,11,0.055014424,0.025522181,2.566971193,1.048320563,0.037509983,1.303772047,1.123610252,0.875648416,0.09121715,0.273270671,8.98540514,12.78732255,0.610434475,0.928518689,12.81981594,13.37365984,0.29935227,0.084084289,0.020842096,0.086626445,0.557814051,0.728427421,8.475551437,10.16249885,0.539137968,0,0.142178919,0.446725404,4.985523494,7.758527794,0.459484461,0.477896678,0.017348778,0.0338819,0.02846839,2.514483084,4.3442464,0.596788135,0.143721543,0.117569457,0.004568491,0,0.003157868,0.045904328,0.004786684,0.010990004,0.001523633,0.001876217
34_2.cdf,iso,comte,12,0.021568298,0.035965972,0.686248549,1.213082045,0.046409911,0.619523667,0.510726202,1.163653947,0.131899216,0.161055119,10.13754268,15.39566359,0.609513505,0.553610046,17.48425265,18.10914575,0.054424629,0.054437758,0.027171406,0.04254904,0.900946537,0.701434859,7.865412543,9.662969155,0.67799269,0,0.273411266,0.684123552,2.870042627,3.789282886,0.683006552,0.63421164,0.05225762,0.030933655,0.070366207,1.655434538,1.51435749,0.642138399,0.097291147,0.074201451,0.010243348,8.11E-05,0,0.032905301,0.006812793,0.009188458,0.001360433,0.001149741
38_2.cdf,group,manchego,16,0.016951214,0.036079713,0.635655047,1.043448858,0.044049237,0.303809256,0.437761847,0.520790527,0.11281554,0.118921479,10.32070085,13.99974169,0.762000548,0.76810861,17.53305231,19.34143447,0.051534185,0.071857431,0.025159538,0.060550348,1.016904943,0.83200496,7.331551771,10.25775671,0.707367168,0,0.249100406,0.67944708,2.408494396,4.658840698,0.749647671,0.641510527,0.028002831,0.046086881,0.036230886,1.386076228,1.806775492,0.679140007,0.110185318,0.098207207,0.008286332,0,0.001696435,0.044090989,0.006936904,0.009140396,0.001119744,0.000975325
39_2.cdf,iso,manchego,17,0.080523878,0.032647772,2.128639744,0.044973621,0.031421982,0.718457886,0.677664873,0.092858357,0.029479232,0.289062974,7.657926543,10.38841186,1.420929986,1.892136474,10.13669872,11.34255758,0.323705692,0.015647948,0.02117165,0.042289887,0.801075909,1.274056195,7.755867888,8.640565384,0.71339535,0.000637864,0.18889515,3.511395457,5.965384876,7.396287148,0.766791228,3.097775832,0.033783792,0.04413105,0.065245927,4.947760563,5.994357907,0.681992531,0.303633081,0.230615658,0.045195318,0,0.017254093,0.101071007,0.02151737,0.022711685,0.01064355,0.00075153
41_2.cdf,group,manchego,19,0.045853021,0.105596011,1.854685412,0.742818032,0.072189251,1.483417677,0.963505823,0.767632259,0.096720463,0.222773837,11.3064705,14.99573412,0.92495587,0.971995169,15.69772224,16.65631541,0.440447936,0.138473788,0.05516326,0.107899293,0.691897654,0.768161019,6.489249098,10.87851399,0.566333955,0.008183541,0.080592129,0.518062469,1.695125853,5.479191733,0.813599658,0.528363276,0.042110885,0.040835999,0.015765994,1.072818756,1.871616933,0.564719101,0.075933748,0.069755137,0,0,0,0.029698276,0,0.013590427,0.029829217,0.005681784
