treatment,colony,ID,tissue,Carvone,Hexadecanal,Methyl.Hexadecanoate,Ethyl.Hexadecanoate,Octadecenal,Methyl.Octadecenoate,Heneicosane,Ethyl.Octadecenoate,Ethyl.Octadecanoate,Docosane,Tricosene,Tricosane,Decanoic.Acid..Dodecyl.Ester,Tetracosane,Pentacosene,Pentacosane,Methyl.Tetradecanoate,Ethyl.Tetradecanoate,Hexadecenal,Heneicosene,Hexacosene,Hexacosane,Heptacosene,Heptacosane,Octacosane,Decanoic.acid..Hexadecyl.Ester,Octacosene,Tetracosyl.Acetate,Nonacosene,Nonacosane,Unknown1..mz.108.79..mw.402,Hexacosyl.Acetate,Triacontene,Hexadecenoic.Acid..Dodecyl.Ester,Octadecenoic.Acid..Decyl.Ester,Hentriacontene,Hentriacontane,Eicosenoic.Acid..Decyl.Ester,Tritriacontene,Tritriacontane,Unknown2..mz434.390..mw..,Octadecenoic.Acid..Hexadecyl.Ester,Unknown3..mz.464.338.265.201.127..mw..,Hexadecenoic.acid..Hexadecyl.Ester,Hexadecenoic.acid..Octadecenyl.Ester,Octadecenoic.Acid..Hexadecenyl.Ester,Octanoic.Acid,Octanoic.Acid..Ethyl.Ester,File_ID
group,comte,44,Head,1.233086374,0.075516802,0.020616399,0.23589262,0.078074359,0.108212571,3.053643519,1.576080723,0.509922553,1.40626858,7.999040341,10.9902782,3.066245212,4.19666738,9.136815555,10.32233001,0.012267896,0.037137567,0.044055687,0.105132313,1.389299594,2.097277623,6.220770646,7.904513842,0.823991156,0.069523788,0.311325848,5.920901218,5.184084399,7.178483414,0.702080414,5.037775848,0.11020363,0.133483648,0.209828443,4.765939647,5.215682886,0.867634364,0.297097592,0.187117742,0.162407758,0.0554178,0.043473297,0.183055098,0.117524231,0.06618654,0.075220264,0.030187304,4_2.cdf
iso,comte,47,Head,0.33044466,0.147180887,0.012329765,0.013950987,0.107985692,0.051619194,1.586803441,0.074968402,0.016680513,0.17575078,5.241059094,7.664835282,0.392486445,0.613217214,6.635677961,8.068208708,0.008697049,0.015895871,0.03269188,0.087423335,0.317950567,0.526096831,4.602109206,6.932212734,0.300421646,0.014561432,0.081569331,0.359842795,2.307422806,3.748825219,0.686682797,1.045400436,0.028084583,0.087861255,0.089733321,0.983536241,0.877657507,0.660752805,0.043549272,0.020023222,0.003861441,0.100168174,0.003805284,0.10401472,0.001869045,0.09523119,0.00806026,0,7_2.cdf
iso,comte,48,Head,0.795246458,0.162297518,0.008453315,0.010249934,0.115924485,0.049685768,1.769295787,0.084140876,0.013112334,0.195494043,6.008032242,7.884111708,0.569638582,0.654662126,7.273383143,8.262929212,0.006288298,0.012529808,0.029398506,0.103455776,0.430740002,0.607860931,5.404170639,7.118387942,0.352282742,0.02662499,0.115722986,0.425104095,3.091551485,3.916702573,0.730233467,2.020529946,0.054115905,0.192819033,0.251652131,1.565690482,1.114085158,0.951472092,0.066951841,0.022877022,0.003229146,0.194485964,0.020308021,0.169788854,0.002454525,0.0941442,0.007007127,0.000279613,8_2.cdf
group,manchego,49,Head,0.117611955,0.41351416,0.014088897,0.119420371,0.178388449,0.068800319,1.349805802,0.560798845,0.082424578,0.333520901,6.999753707,8.935119634,1.09457478,1.242161144,9.055641883,9.272684433,0.007559274,0.020559777,0.030932205,0.145875263,0.832276535,1.328273696,7.943165814,7.921481762,0.758727299,0.068043411,0.274408549,1.350602126,6.624892284,6.866587081,0.540860425,1.065020148,0.109642714,0.228296728,0.423421723,4.155867766,4.673188351,2.046583492,0.198955476,0.109282391,0.036038559,0.340557496,0.032620356,0.202703829,0.036726214,0.097693997,0.046125586,0.025088054,9_2.cdf
iso,manchego,53,Head,1.256307328,0.814055789,0.018609828,0.022756871,0.258766583,0.127033714,4.999591779,1.133957127,0.030949246,1.473800761,9.392466847,10.95976678,3.709827447,2.850251092,9.788850841,10.08299421,0.008733354,0.016335242,0.055908358,0.515439335,2.500884275,2.218299481,8.051292487,7.918764112,1.080799015,0.396781426,0.792956523,0.770251591,8.022628377,6.253900862,1.900646729,1.584789434,0.400740861,0.816874536,0.78829525,5.905845486,4.049180225,5.037953982,0.29608471,0.10939162,0.010726795,0.689976787,0.201072106,0.519104708,0.005569583,0.311141445,0.026592291,0.00077361,13_2.cdf
group,manchego,54,Head,0.111397728,0.21375279,0.011291507,0.100967796,0.063661675,0.051383072,1.813910762,0.577791106,0.085827756,0.551199126,6.94484286,9.805455912,1.391958117,1.833262411,8.887248352,9.480953013,0.007475166,0.021796224,0.02671275,0.069979084,0.966821335,1.409177178,7.230761952,7.768463168,0.652905084,0.061831455,0.291030755,3.774315506,6.030069927,6.412192728,0.476789326,2.672979313,0.143976083,0.141999472,0.354056033,4.916150514,3.688864875,1.145939853,0.209338289,0.08856034,0.143525588,0.108563368,0.021220642,0.154705398,0.111304998,0.057754532,0.078076438,0.129943759,14_2.cdf
group,comte,60,Head,0.432248977,0.529645458,0.012266895,0.178097264,0.645278148,0.080878801,3.127362407,2.825193702,2.043620573,0.884156705,7.727073141,9.820544374,1.781215141,1.487605701,8.295552025,8.802304842,0.00829989,0.031579752,0.043366012,0.075141843,0.729464914,0.80579455,5.549674987,7.068416477,0.440495732,0.083010472,0.154143693,2.546645249,3.928702494,5.516060284,0.586960618,2.991119285,0.164235399,0.3576373,0.51911056,3.673986425,3.151900088,2.190299134,0.215903562,0.087671576,0.097861791,0.310681086,0.055355337,0.292520652,0.072081323,0.152193729,0.010388576,0.025377764,20_2.cdf
iso,comte,1,Abdomen,0.015298129,0.013376029,0.980723304,0.010162167,0.012295955,0.348640539,1.421985763,0.068283495,0.009805717,0.47750361,5.998895696,9.267607975,0.458714376,0.967369937,6.942800061,8.427326604,0.072950403,0.006563976,0.010662378,0.020295238,0.21113135,0.38160026,2.39026205,6.581313166,0.264514422,0.000104889,0.044573678,0.189915271,1.06021648,4.415256811,0.298571349,0.197420915,0.009660922,0.00591389,0.004001974,1.030550015,1.902530654,0.276671924,0.076654223,0.058047011,0.006771238,0.001647889,0,0.007215887,0.007299154,0.002960244,0.000648471,0.001882688,23_2.cdf
group,comte,2,Abdomen,0.053552103,0.013585013,0.147747152,0.008662326,0.018073234,0.111976179,0.486348259,0.024751142,0.009939582,0.044574529,3.334252251,5.235631201,0.153631579,0.125911925,6.302884505,5.338257558,0.017951487,0.00645923,0.010851684,0.028744067,0.278373973,0.186582367,1.74119729,2.392906184,0.221369152,4.62E-05,0.077515515,0.19853017,0.372221696,0.584099031,0.325228388,0.165214223,0.023707594,0.005256091,0.019485899,0.223417497,0.192046021,0.172544595,0.002567167,0.006292775,0.002881551,0,0,0,0,0,0.001978323,0.001651711,24_2.cdf
iso,comte,6,Abdomen,0.03215252,0.015233515,0.287008556,0.389346445,0.017485819,0.167705704,0.369114879,0.365270782,0.051754906,0.093348989,6.430472663,7.545741278,0.452268066,0.395470359,8.580665375,8.478425122,0.022732152,0.025909339,0.010240895,0.052058059,0.499423964,0.41085746,5.277380137,5.007149156,0.372512824,0,0.177969353,0.35184408,2.396892448,2.904198493,0.30836764,0.354521567,0.02219076,0.018297763,0.051196818,1.039763994,1.403827543,0.380895402,0.077959778,0.06203272,0.005170668,0,0.002590475,0.033806073,0.004160563,0.007062051,0.000407519,0.000480703,28_2.cdf
iso,comte,7,Abdomen,0.261451896,0.036520776,0.592868137,0.021572605,0.024938142,0.345526468,1.149698169,0.05638426,0.018394129,0.280385632,5.902491972,8.977981329,0.569081994,0.916299002,7.537141927,8.9096366,0.124198207,0.015137652,0.023731043,0.041419447,0.412627932,0.614336458,4.387289829,7.023844119,0.374644998,0.002834848,0.05968822,0.326623538,1.846078461,4.766336825,0.357447303,0.303308495,0.012851239,0.015567544,0.006309403,1.196400139,1.890599355,0.372858855,0.074389241,0.058523843,0.001384996,0.000160026,0.001672603,0.022712251,0.003964762,0.006157904,0.008641914,0.000568957,29_2.cdf
group,comte,11,Abdomen,0.036287581,0.016834461,1.693177316,0.691473516,0.02474163,0.859969625,0.741134687,0.577578758,0.060166943,0.180249667,5.926784141,8.434533481,0.402643321,0.612452055,8.455966163,8.821282267,0.197453121,0.055462099,0.013747472,0.057138908,0.367934826,0.480471612,5.59048402,6.70319658,0.355616059,0,0.093781388,0.294660619,3.288457351,5.117534354,0.303076509,0.315221229,0.011443275,0.022348542,0.018777785,1.658556095,2.865470201,0.393642178,0.094798905,0.077548956,0.003013382,0,0.002082933,0.03027855,0.003157303,0.00724902,0.00100499,0.001237555,33_2.cdf
iso,comte,12,Abdomen,0.008627855,0.014387283,0.274516472,0.48526296,0.018565118,0.247824861,0.204303171,0.465490493,0.052762964,0.06442605,4.055268968,6.158647987,0.243820547,0.221457774,6.994135508,7.244108273,0.021771204,0.021776456,0.010869238,0.017020673,0.360401001,0.280591373,3.146360456,3.865427766,0.271213923,0,0.1093713,0.27366642,1.148088365,1.51580731,0.273219592,0.253700415,0.020904347,0.012374231,0.028148231,0.662214949,0.605780625,0.256871315,0.038918876,0.029682424,0.004097594,3.25E-05,0,0.013162938,0.002725286,0.003675611,0.000544207,0.000459925,34_2.cdf
group,manchego,16,Abdomen,0.0071744,0.015270309,0.269033439,0.44162732,0.018643316,0.128583654,0.185277496,0.220418397,0.047747836,0.050332102,4.368113894,5.925224176,0.32250767,0.325092834,7.420655874,8.186032116,0.021811231,0.030412803,0.010648475,0.025627215,0.430392923,0.352136205,3.102992095,4.341473533,0.299384741,0,0.105428784,0.287567896,1.01936661,1.971798919,0.317279461,0.271511701,0.011851865,0.019505724,0.015334291,0.586640279,0.764696239,0.287437931,0.046634625,0.041565033,0.003507091,0,0.000717996,0.018660987,0.002935962,0.003868564,0.000473918,0.000412795,38_2.cdf
iso,manchego,17,Abdomen,0.071316099,0.02891455,1.88523313,0.039830958,0.027828928,0.636303355,0.600174958,0.08224015,0.026108328,0.256009077,6.782254661,9.200513267,1.258448872,1.675773638,8.977583129,10.04555392,0.286690454,0.01385863,0.018750705,0.037454104,0.709474136,1.128369868,6.868996568,7.652530293,0.631819712,0.000564925,0.167295286,3.109872898,5.283252478,6.55053332,0.679109855,2.743550028,0.029920668,0.039084733,0.057785157,4.381991908,5.308912488,0.604007755,0.268913115,0.204245119,0.040027305,0,0.015281115,0.089513696,0.019056893,0.020114639,0.009426477,0.000665594,39_2.cdf
